Designator,Description,Suplier,Part Number,Price,Link,Notes
A,LED 400nm,SparkFun,COM-08662,0,84 €,https://www.sparkfun.com/products/8662, 
B,LED 465nm,SparkFun,COM-00529,0,30 €,https://www.sparkfun.com/products/9662,Quantity discount
C,LED 587nm,SparkFun,COM-00530,0,30 €,https://www.sparkfun.com/products/10023,Quantity discount
D,PLA LED Block,Self Made,N/A,0,22 €,https://fillamentum.com/products/fillamentum-pla-extrafill-traffic-black,Price calculated for the material used (8g)
E,CR2032 Battery,SparkFun,PRT-00338,1,71 €,https://www.sparkfun.com/products/338,
F,PLA Cuvette Holder,Self Made,N/A,0,34 €,https://fillamentum.com/products/fillamentum-pla-extrafill-traffic-black,Price calculated for the material used (12g)
G,Plastic Cuvette,BrandTech,759071D,0,17 €,https://www.brandtech.com/product/ps-and-pmma-cuvettes/,Sold in pack of 100. Price for single cuvette.
H,Self-adhesive Holled Rubber,Yelanon,ASIN B07NSV2L6B,0,33 €,https://www.amazon.com/Yelanon-Furniture-Pads-Slip-Rubber/dp/B07NSV2L6B/ref=sr_1_30_sspa?crid=220LWP6C13XBT&keywords=furniture+pads&qid=1551634657&s=gateway&sprefix=furniture+%2Caps%2C255&sr=8-30-spons&psc=1,Quantity discount
I,Mobile phone,N/A,N/A,N/A,N/A,Pre-existing technology
J,Software,Shoebox spectrophotometer APP,,Free,https://play.google.com/store/apps/details?id=appinventor.ai_billhosker.Shoeboxspec&hl=pt_PT,
